,,,,,,,,,,,,,,,,,,,
,time period,month,year,ID4,TAOS,Cross Sport,Arteon,Tiguan,Atlas,Routan,Touareg,Tiguan,CC,EOS,Passat,Jetta,Golf,Beetle,
,1,January,2008,,,,,,,,,,,,,,,,
,2,February,2008,,,,,,,,,,,,,,,,
,3,March,2008,,,,,,,,,,,,,,,,
,4,April,2008,,,,,,,,,,,,,,,,
,5,May,2008,,,,,,,,,,,,,,,,
,6,June,2008,,,,,,,,,,,,,,,,
,7,July,2008,,,,,,,,,,,,,,,,
,8,August,2008,,,,,,,,,,,,,,,,
,9,September,2008,,,,,,,375.000,,,,,,,,,
,10,October,2008,,,,,,,789.000,,,,,,,,,
,11,November,2008,,,,,,,1324.000,,,,,,,,,
,12,December,2008,,,,,,,899.000,6755,8664,2105,12837,30034,97461,,26477,
,13,January,2009,,,,,,,663.000,,,,,,,,,
,14,February,2009,,,,,,,503.000,,,,,,,,,
,15,March,2009,,,,,,,1029.000,,,,,,,,,
,16,April,2009,,,,,,,2606.000,,,,,,,,,
,17,May,2009,,,,,,,1390.000,,,,,,,,,
,18,June,2009,,,,,,,2099.000,,,,,,,,,
,19,July,2009,,,,,,,1350.000,,,,,,,,,
,20,August,2009,,,,,,,2098.000,,,,,,,,,
,21,September,2009,,,,,,,901.000,,,,,,,,,
,22,October,2009,,,,,,,669.000,,,,,,,,,
,23,November,2009,,,,,,,510.000,,,,,,,,,
,24,December,2009,,,,,,,833.000,4392,13903,23872,7204,11138,108427,,14085,
,25,January,2010,,,,,,,,,,,,,,,,
,26,February,2010,,,,,,,,,,,,,,,,
,27,March,2010,,,,,,,,,,,,,,,,
,28,April,2010,,,,,,,,,,,,,,,,
,29,May,2010,,,,,,,,,,,,,,,,
,30,June,2010,,,,,,,,,,,,,,,,
,31,July,2010,,,,,,,,,,,,,,,,
,32,August,2010,,,,,,,,,,,,,,,,
,33,September,2010,,,,,,,,,,,,,,,,
,34,October,2010,,,,,,,,,,,,,,,,
,35,November,2010,,,,,,,,,,,,,,,,
,36,December,2010,,,,,,,15961,4713,20946,27987,6690,12497,123213,,16573,
,37,January,2011,,,,,,,,,,,,,,,,
,38,February,2011,,,,,,,,,,,,,,,,
,39,March,2011,,,,,,,,,,,,,,,,
,40,April,2011,,,,,,,,,,,,,,,,
,41,May,2011,,,,,,,,,,,,,,,,
,42,June,2011,,,,,,,,,,,,,,,,
,43,July,2011,,,,,,,,,,,,,,,,
,44,August,2011,,,,,,,,,,,,,,,,
,45,September,2011,,,,,,,,,,,,,,,,
,46,October,2011,,,,,,,,,,,,,,,,
,47,November,2011,,,,,,,,,,,,,,,,
,48,December,2011,,,,,,,12473,7535,2599,29502,7533,22835,177360,,6468,
,49,January,2012,,,,,,,,,,,,,,,,
,50,February,2012,,,,,,,,,,,,,,,,
,51,March,2012,,,,,,,,,,,,,,,,
,52,April,2012,,,,,,,,,,,,,,,,
,53,May,2012,,,,,,,,,,,,,,,,
,54,June,2012,,,,,,,,,,,,,,,,
,55,July,2012,,,,,,,,,,,,,,,,
,56,August,2012,,,,,,,,,,,,,,,,
,57,September,2012,,,,,,,,,,,,,,,,
,58,October,2012,,,,,,,,,,,,,,,,
,59,November,2012,,,,,,,,,,,,,,,,
,60,December,2012,,,,,,,10484,10553,31731,21646,6214,117023,170424,,29174,
,61,January,2013,,,,,,,,,,,,,,,,
,62,February,2013,,,,,,,,,,,,,,,,
,63,March,2013,,,,,,,,,,,,,,,,
,64,April,2013,,,,,,,,,,,,,,,,
,65,May,2013,,,,,,,,,,,,,,,,
,66,June,2013,,,,,,,,,,,,,,,,
,67,July,2013,,,,,,,,,,,,,,,,
,68,August,2013,,,,,,,,,,,,,,,,
,69,September,2013,,,,,,,,,,,,,,,,
,70,October,2013,,,,,,,,,,,,,,,,
,71,November,2013,,,,,,,,,,,,,,,,
,72,December,2013,,,,,,,2109,8233,3000,15672,4178,109652,163793,,43134,
