0,Alexandria Volkswagen,4.4,2984,,,
1,Ancira Volkswagen,4.5,1913,,,
2,Ancira Volkswagen of Laredo,4.1,271,,,
3,Andy Mohr Volkswagen of Avon,4.5,1432,,,
4,Antelope Valley Volkswagen,4.2,458,,,
5,Antwerpen Volkswagen,4.1,699,,,
6,Archer Volkswagen,4.3,1386,,,
7,Armstrong Volkswagen,4.2,709,,,
8,Atlantic Volkswagen,3.5,91,,,
9,Auffenberg Volkswagen,4.5,870,,,
10,"Auto Import, Inc.",4.5,62,,,
11,Autobahn Motorcar Group,4.7,623,,,
12,Autobarn Volkswagen of Countryside,4.7,33,,,
13,AutoFair Volkswagen of Nashua,4.6,1708,,,
14,"Autohaus Lancaster, Inc.",4.4,662,,,
15,Autohaus Lebanon Volkswagen,4.1,134,,,
16,AutoNation Volkswagen Carlsbad,4.4,433,,,
17,AutoNation Volkswagen Columbus,4.4,892,,,
18,AutoNation Volkswagen Hilton Head,4.7,1217,,,
19,AutoNation Volkswagen Las Vegas,4.4,2162,,,
20,AutoNation Volkswagen Savannah,4.2,1200,,,
21,AutoNation Volkswagen Spokane,4.2,839,,,
22,AutoNation VW Mall of Georgia,4.3,2904,,,
23,Bachman Subaru-Volkswagen,4.7,1858,,,
24,Balise Volkswagen,4.7,891,,,
25,Barnes Crossing Volkswagen,4.7,1178,,,
26,Basil Volkswagen of Lockport,4.7,875,,,
27,Baxter Volkswagen of La Vista,4.6,1180,,,
28,Baxter Volkswagen of Omaha,4.7,1094,,,
29,Bay Ridge Volkswagen,4.1,431,,,
30,Bayside Volkswagen,4.5,468,,,
31,Beechmont Volkswagen,4.7,515,,,
32,Berge Volkswagen,4.5,1158,,,
33,Bergey's Volkswagen of Wilkes-Barre,4.6,500,,,
34,Bergstrom Volkswagen Appleton,4.2,197,,,
35,Bergstrom Volkswagen of Oshkosh,4.3,161,,,
36,Bert Smith International,4.6,1201,,,
37,"Betten Imports, Inc.",4.1,577,,,
38,Beyer Volkswagen,4.8,736,,,
39,Bill Jacobs Volkswagen,4.6,2595,,,
40,Bill Marine VW of Springfield,4.6,47,,,
41,Bill White Volkswagen,4.5,328,,,
42,Boardwalk VW of Redwood City,4.2,439,,,
43,Bob Boast Volkswagen,4.4,539,,,
44,Bob Johnson Volkswagen of Rochester,4.3,329,,,
45,Bob Johnson Volkswagen of Watertown,3.9,158,,,
46,Bob Moore Volkswagen,4.4,84,,,
47,Bob Penkhus Volkswagen,3.8,112,,,
48,Boise Volkswagen,4.6,2373,,,
49,Bommarito Volkswagen of Hazelwood,4.7,2263,,,
50,Bommarito Volkswagen St. Peters,4.1,443,,,
51,Boston Volkswagen,3.9,399,,,
52,Boucher Volkswagen,4.6,767,,,
53,Brandon Tomes VW of McKinney,4.7,3353,,,
