0,Alexandria Volkswagen,107 W Glebe Rd ,"Alexandria, VA 22305 ", https://alexandriavw.com, (703) 684-8888,"38.83578067871878, -77.05799331320739"
1,Ancira Volkswagen,6125 Bandera Rd ,"San Antonio, TX 78238 ", https://anciravolkswagen.com, (210) 681-2300,"29.488410637739907, -98.60618875952487"
2,Ancira Volkswagen of Laredo,2701 N.E. Bob Bullock Loop ,"Laredo, TX 78045 ", https://vwlaredo.com, (956) 717-2200,"27.612614635541124, -99.47040125767218"
3,Andy Mohr Volkswagen of Avon,8791 E Us Highway 36 ,"Avon, IN 46123 ", https://www.andymohrvw.com, (317) 978-0296,"39.76232468061578, -86.36526215581948"
4,Antelope Valley Volkswagen,39050 Carriage Way ,"Palmdale, CA 93551 ", https://vwantelopevalley.com, (661) 273-2500,"39.764347438993674, -86.37612026718733"
5,Antwerpen Volkswagen,8065 Ritchie Hwy ,"Pasadena, MD 21122 ", https://www.antwerpenvw.com, (410) 760-6300,"39.127604858072104, -76.59009"
6,Archer Volkswagen,10400 Southwest Fwy ,"Houston, TX 77074 ", https://www.archervw.com, (713) 272-1700,"29.66542415603848, -95.55456073207128"
7,Armstrong Volkswagen,20000 Mcloughlin Blvd ,"Gladstone, OR 97027 ", https://www.armstrongvw.com, (503) 656-2924,"45.376108272303604, -122.60124081620272"
8,Atlantic Volkswagen,6820 Tilton Rd ,"Egg Harbor Township, NJ 08234 ", https://www.atlanticvw.com, (609) 646-8600,"39.391054304417494, -74.55781371827808"
9,Auffenberg Volkswagen,1122 Auffenberg Ave ,"Shiloh, IL 62269 ", https://auffenbergvolkswagen.com, (618) 622-4500,"38.57380629900138, -89.91813746063526"
10,"Auto Import, Inc.",22 Washington St ,"Brainerd, MN 56401 ", https://www.autoimportvw.com, (218) 829-3307,"46.35781510740489, -94.2087172026697"
11,Autobahn Motorcar Group,2824 White Settlement Rd ,"Fort Worth, TX 76107 ", https://autobahnvw.com, (817) 336-0885,"32.759738085602244, -97.35798000314958"
12,Autobarn Volkswagen of Countryside,6161 Joliet Rd ,"Countryside, IL 60525 ", https://vwofchicagoland.com, (708) 354-6600,"41.778684472758094, -87.87008910284897"
13,AutoFair Volkswagen of Nashua,717 Milford Rd ,"Merrimack, NH 03054 ", https://www.autofairvolkswagenofnashua.com, (603) 943-8700,"42.80568219924306, -71.54706330281019"
14,"Autohaus Lancaster, Inc.",1373 Manheim Pike ,"Lancaster, PA 17601 ", https://autohauslancastervw.com, (717) 299-2801,"40.06945361310726, -76.33010237407572"
15,Autohaus Lebanon Volkswagen,1250 Chestnut St ,"Lebanon, PA 17042 ", https://autohauslebanon.com, (717) 273-9385,"40.33703687145681, -76.43203980290177"
16,AutoNation Volkswagen Carlsbad,5515 Car Country Dr ,"Carlsbad, CA 92008 ", https://www.autonationvolkswagencarlsbad.com, (760) 438-2200,"33.12955270911384, -117.32230145766393"
17,AutoNation Volkswagen Columbus,"3000 N Lake Pkwy, Bldg 300 ","Columbus, GA 31909 ", https://www.autonationvolkswagencolumbus.com, (706) 243-3901,"32.55198513402661, -84.9406945031116"
18,AutoNation Volkswagen Hilton Head,137 Auto Mall Blvd ,"Hardeeville, SC 29927 ", https://www.autonationvolkswagenhiltonhead.com, (843) 288-0550,"32.31339781460221, -80.98584420496927"
19,AutoNation Volkswagen Las Vegas,6375 W Sahara Ave ,"Las Vegas, NV 89146 ", https://www.autonationvolkswagenlasvegas.com, (702) 942-4000,"36.14316688037371, -115.23109126067278"
20,AutoNation Volkswagen Savannah,50 Eisenhower Dr ,"Savannah, GA 31406 ", https://www.autonationvolkswagensavannah.com, (912) 629-6989,"32.011208056215985, -81.11493168963464"
21,AutoNation Volkswagen Spokane,10006 E Sprague Ave ,"Spokane Valley, WA 99206 ", https://www.autonationvolkswagenspokane.com, (509) 892-2240,"47.65658671789715, -117.27030087373596"
22,AutoNation VW Mall of Georgia,3711 Buford Dr ,"Buford, GA 30519 ", https://www.autonationvwmallofgeorgia.com, (678) 745-9950,"34.083004601338146, -83.98641320306596"
23,Bachman Subaru-Volkswagen,9652 Bluegrass Pkwy ,"Louisville, KY 40299 ", https://bachmanvolkswagen.com, (502) 493-2920,"38.2205551692636, -85.5786347452604"
24,Balise Volkswagen,525 Quaker Ln ,"West Warwick, RI 02893 ", https://balisevolkswagenri.com, (401) 822-4400,"41.679382818771906, -71.50144173164428"
25,Barnes Crossing Volkswagen,3973 North Gloster Street ,"Tupelo, MS 38804 ", https://www.bcvolkswagenoftupelo.com, (662) 340-2277,"34.31232157306529, -88.70777400305894"
26,Basil Volkswagen of Lockport,6179 S Transit Rd ,"Lockport, NY 14094 ", https://www.basilvw.com, (716) 625-4444,"43.12267050202673, -78.69560114508248"
27,Baxter Volkswagen of La Vista,7108 S 124th Cir ,"La Vista, NE 68128 ", https://baxtervw.com, (402) 991-0500,"41.188428197367365, -96.10866917399089"
28,Baxter Volkswagen of Omaha,17220 Burt St ,"Omaha, NE 68118 ", https://baxtervolkswagen.com, (402) 397-8200,"41.2669914632864, -96.18505156171933"
29,Bay Ridge Volkswagen,8910 4th Ave # 8916 ,"Brooklyn, NY 11209 ", https://bayridgevolkswagen.com, (718) 351-7000,"40.620153955951906, -74.02973820284751"
30,Bayside Volkswagen,20812 Northern Blvd ,"Bayside, NY 11361 ", https://baysidevw.com, (718) 423-6389,"40.75849957139103, -73.77495100284244"
31,Beechmont Volkswagen,8057 Beechmont Ave ,"Cincinnati, OH 45255 ", https://www.beechmontvw.com, (513) 474-4777,"39.07254302470511, -84.33210100290256"
32,Berge Volkswagen,385 W Baseline Rd ,"Gilbert, AZ 85233 ", https://www.bergevw.com, (480) 833-0001,"33.377677335500564, -111.84017555646035"
33,Bergey's Volkswagen of Wilkes-Barre,126 Narrows Rd ,"Plymouth, PA 18651 ", https://bergeysvw.com, (570) 288-7411,"41.249266029787066, -75.91792694392892"
34,Bergstrom Volkswagen Appleton,3019 N Victory Ln ,"Appleton, WI 54913 ", https://www.bergstromvolkswagenappleton.com, (920) 749-3232,"44.291051031574284, -88.47178569166392"
35,Bergstrom Volkswagen of Oshkosh,3139 S Washburn St ,"Oshkosh, WI 54904 ", https://www.bergstromvolkswagenoshkosh.com, (920) 966-2000,"43.98029261588146, -88.58483686161637"
36,Bert Smith International,3335 38th Ave N ,"Saint Petersburg, FL 33713 ", https://www.bertsmithvw.com, (727) 527-1111,"27.80750245872977, -82.67863680323892"
37,"Betten Imports, Inc.",5901 28th St Se ,"Grand Rapids, MI 49546 ", https://www.bettenvolkswagen.com, (616) 301-2100,"42.91444032459148, -85.52408822055307"
38,Beyer Volkswagen,4015 Valley Pike ,"Winchester, VA 22602 ", https://www.beyervw.com, (540) 868-3000,"39.11619135774435, -78.19913050418471"
39,Bill Jacobs Volkswagen,2211 Aurora Ave ,"Naperville, IL 60540 ", https://billjacobsvw.com, (630) 848-6600,"41.76467905878858, -88.19063760280545"
40,Bill Marine VW of Springfield,415 E North St ,"Springfield, OH 45503 ", https://www.billmarinevolkswagen.com, (937) 325-7091,"39.92684808884169, -83.8024216850814"
41,Bill White Volkswagen,3510 South Zero Street ,"Fort Smith, AR 72908 ", https://www.billwhitevw.com, (479) 648-3510,"35.326995515421444, -94.39646254251669"
42,Boardwalk VW of Redwood City,#1 Bair Island Road ,"Redwood City, CA 94063 ", https://boardwalkvolkswagen.com, (650) 364-0100,"37.495399022940866, -122.22777443179247"
