year,ID4,TAOS,Cross Sport,Arteon,Tiguan,Atlas,Routan,Touareg,Tiguan,CC,EOS,Passat,Jetta,Golf,Beetle
2008,0,0,0,0,0,0,3387,6755,8664,2105,12837,30034,97461,35408,26477
2009,0,0,0,0,0,0,14651,4392,13903,23872,7204,11138,108427,15752,14085
2010,0,0,0,0,0,0,15961,4713,20946,27987,6690,12497,123213,28286,16573
2011,0,0,0,0,0,0,12473,7535,2599,29502,7533,22835,177360,34706,6468
2012,0,0,0,0,0,0,10484,10553,31731,21646,6214,117023,170424,40885,29174
2013,0,0,0,0,0,0,2109,8233,3000,15672,4178,109652,163793,30931,43134
2014,0,0,0,0,0,0,1103,6961,25121,9995,3411,96649,160873,33675,29182
2015,0,0,0,0,0,0,0,8223,35843,6276,2993,78207,131109,65308,22667
2016,0,0,0,0,0,0,0,4223,43638,3237,387,73002,121107,61687,15667
2017,0,0,0,0,21023,27119,0,3545,25960,1355,1,60722,115807,68978,15166
2018,0,0,0,0,89476,59677,0,2022,103022,455,0,41401,90805,42271,14411
2019,0,0,0,2449,109572,81508,0,160,109572,58,0,14123,100453,37393,17215
2020,0,0,29069,3602,100687,59422,0,48,100687,17079,0,22964,82662,25858,2481
2021,16742,31682,43303,5537,109743,72384,0,6,109743,3,0,24396,61967,9253,10
2022,11072,46835,22674,941,64336,43525,0,0,0,1,0,2408,32984,7574,1
